,X,Y,FAIRMARKETBUILDING__asmt,PROPERTYZIP__asmt,FAIRMARKETLAND__asmt,SALECODE__asmt,LEGAL1__asmt,PROPERTYFRACTION__asmt,PIN,NEIGHDESC__asmt,LOCALLAND__asmt,PROPERTYADDRESS__asmt,CLASSDESC__asmt,LEGAL2__asmt,COUNTYBUILDING__asmt,PROPERTYHOUSENUM__asmt,PROPERTYUNIT__asmt,FAIRMARKETTOTAL__asmt,LOTAREA__asmt,SALEDATE__asmt,LEGAL3__asmt,PROPERTYCITY__asmt,NEIGHCODE__asmt,LOCALTOTAL__asmt,SALEPRICE__asmt,COUNTYLAND__asmt,PROPERTYSTATE__asmt,LOCALBUILDING__asmt,USEDESC__asmt,COUNTYTOTAL__asmt,MUNIDESC__asmt,alpha
48,-80.0260687834961,40.484973145126794,0,15212,500,3,1 A LD IN RR WOODS RUN AVE                     , ,0115K00127000000,WARD 26 - PERRY NORTH,500,WOODS RUN AVE,RESIDENTIAL,,0,0, ,500,43560,01-30-2002,,PITTSBURGH,12602,500,1500.0,500,PA,0,VACANT LAND,500,26th Ward - PITTSBURGH,0.001
64,-79.9198781824926,40.371336690493,0,15207,29300,H,KENNEDY PLAN OF LOTS, ,0185H00199000000,13102,29300,MIFFLIN RD,RESIDENTIAL,PT PARCEL A = 174.49X101.64X637.96X47.19X198.76X45.37X223.41,0,0, ,29300,193014,04-10-2014,X172.86X80.57X224.69X66.33X100.65X100.32X99.84X60.14X48.95,PITTSBURGH,13102,29300,10000.0,29300,PA,0,VACANT LAND,29300,31st Ward - PITTSBURGH,0.001
91,-79.8737250288245,40.4558543408026,0,15221,60100,N,EAST HILLS PARK 1ST PLAN STAGE 1 2 & 3 (18.7165) ALD, ,0231L00380000000,11301,60100,EAST HILLS DR,RESIDENTIAL,EAST HILLS DR COR PARK HILL,0,0, ,60100,815290,03-17-1965,,PITTSBURGH,11301,60100,0.0,60100,PA,0,VACANT LAND,60100,13th Ward - PITTSBURGH,0.001
118,-79.9044677627458,40.4227694025666,0,15218,1100,H,YE OLDE SWISSVALE FARME 1ST ADDN PLAN PT 14 LOT, ,0129C00200000000,11403,1100,COMMERCIAL ST,RESIDENTIAL, 344.24XAVG250.51X433.96 COMMERCIAL ST         ,0,0, ,1100,97470,03-08-1982,,PITTSBURGH,11403,1100,50000.0,1100,PA,0,VACANT LAND,1100,14th Ward - PITTSBURGH,0.001
144,-80.0153523286973,40.3970584367589,0,15226,1000,3,W C STILLWAGON PLAN BLK M & N 1.92 A LD EDGEWOO, ,0061J00088000000,11903,1000,EDGEBROOK AVE,RESIDENTIAL,D AV                                           ,0,0, ,1000,83635,10-12-1979,,PITTSBURGH,11903,1000,1.0,1000,PA,0,VACANT LAND,1000,19th Ward - PITTSBURGH,0.001
32,-79.8747511151583,40.45405486325,0,15221,10500,N,EAST HILLS PARK NO 1-SEC 1 PARCEL A1 LOT = 382, ,0231L00390000000,11301,10500,PARK HILL DR,RESIDENTIAL,FRONTING WITH 7 TOTAL BEARINGS,0,0, ,10500,66207,10-23-1964,,PITTSBURGH,11301,10500,0.0,10500,PA,0,VACANT LAND,10500,13th Ward - PITTSBURGH,0.003
64,-79.9198781824926,40.371336690493,0,15207,29300,H,KENNEDY PLAN OF LOTS, ,0185H00199000000,13102,29300,MIFFLIN RD,RESIDENTIAL,PT PARCEL A = 174.49X101.64X637.96X47.19X198.76X45.37X223.41,0,0, ,29300,193014,04-10-2014,X172.86X80.57X224.69X66.33X100.65X100.32X99.84X60.14X48.95,PITTSBURGH,13102,29300,10000.0,29300,PA,0,VACANT LAND,29300,31st Ward - PITTSBURGH,0.003
118,-79.9044677627458,40.4227694025666,0,15218,1100,H,YE OLDE SWISSVALE FARME 1ST ADDN PLAN PT 14 LOT, ,0129C00200000000,11403,1100,COMMERCIAL ST,RESIDENTIAL, 344.24XAVG250.51X433.96 COMMERCIAL ST         ,0,0, ,1100,97470,03-08-1982,,PITTSBURGH,11403,1100,50000.0,1100,PA,0,VACANT LAND,1100,14th Ward - PITTSBURGH,0.003
144,-80.0153523286973,40.3970584367589,0,15226,1000,3,W C STILLWAGON PLAN BLK M & N 1.92 A LD EDGEWOO, ,0061J00088000000,11903,1000,EDGEBROOK AVE,RESIDENTIAL,D AV                                           ,0,0, ,1000,83635,10-12-1979,,PITTSBURGH,11903,1000,1.0,1000,PA,0,VACANT LAND,1000,19th Ward - PITTSBURGH,0.003
64,-79.9198781824926,40.371336690493,0,15207,29300,H,KENNEDY PLAN OF LOTS, ,0185H00199000000,13102,29300,MIFFLIN RD,RESIDENTIAL,PT PARCEL A = 174.49X101.64X637.96X47.19X198.76X45.37X223.41,0,0, ,29300,193014,04-10-2014,X172.86X80.57X224.69X66.33X100.65X100.32X99.84X60.14X48.95,PITTSBURGH,13102,29300,10000.0,29300,PA,0,VACANT LAND,29300,31st Ward - PITTSBURGH,0.0035
118,-79.9044677627458,40.4227694025666,0,15218,1100,H,YE OLDE SWISSVALE FARME 1ST ADDN PLAN PT 14 LOT, ,0129C00200000000,11403,1100,COMMERCIAL ST,RESIDENTIAL, 344.24XAVG250.51X433.96 COMMERCIAL ST         ,0,0, ,1100,97470,03-08-1982,,PITTSBURGH,11403,1100,50000.0,1100,PA,0,VACANT LAND,1100,14th Ward - PITTSBURGH,0.0035
144,-80.0153523286973,40.3970584367589,0,15226,1000,3,W C STILLWAGON PLAN BLK M & N 1.92 A LD EDGEWOO, ,0061J00088000000,11903,1000,EDGEBROOK AVE,RESIDENTIAL,D AV                                           ,0,0, ,1000,83635,10-12-1979,,PITTSBURGH,11903,1000,1.0,1000,PA,0,VACANT LAND,1000,19th Ward - PITTSBURGH,0.0035
64,-79.9198781824926,40.371336690493,0,15207,29300,H,KENNEDY PLAN OF LOTS, ,0185H00199000000,13102,29300,MIFFLIN RD,RESIDENTIAL,PT PARCEL A = 174.49X101.64X637.96X47.19X198.76X45.37X223.41,0,0, ,29300,193014,04-10-2014,X172.86X80.57X224.69X66.33X100.65X100.32X99.84X60.14X48.95,PITTSBURGH,13102,29300,10000.0,29300,PA,0,VACANT LAND,29300,31st Ward - PITTSBURGH,0.005
144,-80.0153523286973,40.3970584367589,0,15226,1000,3,W C STILLWAGON PLAN BLK M & N 1.92 A LD EDGEWOO, ,0061J00088000000,11903,1000,EDGEBROOK AVE,RESIDENTIAL,D AV                                           ,0,0, ,1000,83635,10-12-1979,,PITTSBURGH,11903,1000,1.0,1000,PA,0,VACANT LAND,1000,19th Ward - PITTSBURGH,0.005
144,-80.0153523286973,40.3970584367589,0,15226,1000,3,W C STILLWAGON PLAN BLK M & N 1.92 A LD EDGEWOO, ,0061J00088000000,11903,1000,EDGEBROOK AVE,RESIDENTIAL,D AV                                           ,0,0, ,1000,83635,10-12-1979,,PITTSBURGH,11903,1000,1.0,1000,PA,0,VACANT LAND,1000,19th Ward - PITTSBURGH,0.0075
